Experiment with 50 clients:
[0] throughput: 1665.444865, latency: 51.853301
[1] throughput: 1648.722762, latency: 51.528252
[2] throughput: 1686.715639, latency: 51.786815
[3] throughput: 1621.942069, latency: 53.035343
[4] throughput: 1675.153752, latency: 51.659633
[5] throughput: 1686.779601, latency: 51.283728
[6] throughput: 1619.483626, latency: 52.527026
[7] throughput: 1678.814170, latency: 50.250630
[8] throughput: 1647.781411, latency: 51.819460
[9] throughput: 1628.575887, latency: 50.868337
[10] throughput: 1686.895881, latency: 50.566314
[11] throughput: 1697.305298, latency: 49.910240
[12] throughput: 1679.030534, latency: 51.034535
[13] throughput: 1631.430222, latency: 52.606384
[14] throughput: 1649.702805, latency: 51.519209
[15] throughput: 1723.024787, latency: 50.266154
[16] throughput: 1667.081737, latency: 51.532868
[17] throughput: 1701.162149, latency: 50.730314
[18] throughput: 1620.829497, latency: 52.659308
[19] throughput: 1708.495916, latency: 51.161532
[20] throughput: 1602.578297, latency: 51.584506
[21] throughput: 1667.161994, latency: 51.316553
[22] throughput: 1686.816831, latency: 50.503199
[23] throughput: 1671.988569, latency: 51.555867
[24] throughput: 1659.604687, latency: 51.178949
[25] throughput: 1676.252705, latency: 51.275473
[26] throughput: 1645.072609, latency: 51.817680
[27] throughput: 1678.447704, latency: 50.596009
[28] throughput: 1655.370219, latency: 51.232274
[29] throughput: 1626.981286, latency: 51.657318
[30] throughput: 1662.696331, latency: 50.509877
[31] throughput: 1710.399175, latency: 50.120592
[32] throughput: 1661.257064, latency: 51.118679
[33] throughput: 1653.834884, latency: 50.936725
[34] throughput: 1666.842751, latency: 49.984564
[35] throughput: 1691.090327, latency: 50.911580
[36] throughput: 1690.011080, latency: 51.064126
[37] throughput: 1645.005898, latency: 52.546507
[38] throughput: 1705.090887, latency: 50.917813
[39] throughput: 1664.210097, latency: 51.433275
[40] throughput: 1637.374106, latency: 52.220719
[41] throughput: 1602.746964, latency: 51.741720
[42] throughput: 1672.691974, latency: 50.282792
[43] throughput: 1640.202115, latency: 50.647296
[44] throughput: 1657.705630, latency: 51.611848
[45] throughput: 1687.990210, latency: 50.116690
[46] throughput: 1723.423380, latency: 50.755338
[47] throughput: 1646.344486, latency: 50.797775
[48] throughput: 1640.076492, latency: 52.276704
[49] throughput: 1698.239841, latency: 51.315666
Total throughput: 83251.881201
Average latency: 51.25254994
