Experiment with 50 clients:
[0] throughput: 1173.873516, latency: 58.393945
[1] throughput: 1256.467941, latency: 55.543339
[2] throughput: 1232.773172, latency: 58.989549
[3] throughput: 1227.646084, latency: 53.929173
[4] throughput: 1251.748828, latency: 56.290860
[5] throughput: 1243.546515, latency: 56.687319
[6] throughput: 1148.478888, latency: 55.905173
[7] throughput: 1111.925618, latency: 55.229653
[8] throughput: 1160.157011, latency: 59.103882
[9] throughput: 1132.849491, latency: 55.568261
[10] throughput: 1163.371793, latency: 53.661799
[11] throughput: 1175.125065, latency: 55.793802
[12] throughput: 1101.083383, latency: 59.445639
[13] throughput: 1075.050346, latency: 56.618739
[14] throughput: 1165.347923, latency: 55.843844
[15] throughput: 1155.881401, latency: 57.053327
[16] throughput: 1226.506896, latency: 55.695478
[17] throughput: 1226.256632, latency: 58.238029
[18] throughput: 1220.308748, latency: 54.424729
[19] throughput: 1145.765263, latency: 56.702813
[20] throughput: 1246.831745, latency: 55.883480
[21] throughput: 1125.178694, latency: 54.722758
[22] throughput: 1179.594580, latency: 56.792278
[23] throughput: 1127.241331, latency: 59.897269
[24] throughput: 1233.904366, latency: 57.275756
[25] throughput: 1172.895595, latency: 56.392403
[26] throughput: 1231.463066, latency: 55.211815
[27] throughput: 982.382809, latency: 59.584259
[28] throughput: 1218.670579, latency: 56.592875
[29] throughput: 1217.372004, latency: 56.437598
[30] throughput: 1133.121472, latency: 59.179210
[31] throughput: 1135.787894, latency: 58.991746
[32] throughput: 1127.843247, latency: 55.464961
[33] throughput: 1244.967175, latency: 55.118911
[34] throughput: 1312.423375, latency: 56.999328
[35] throughput: 1299.202615, latency: 56.625087
[36] throughput: 1098.503444, latency: 54.949772
[37] throughput: 1205.529304, latency: 57.113646
[38] throughput: 1188.751022, latency: 60.170842
[39] throughput: 1196.424923, latency: 56.888078
[40] throughput: 1200.749955, latency: 58.272343
[41] throughput: 1302.099190, latency: 54.999238
[42] throughput: 1261.803197, latency: 58.005349
[43] throughput: 1178.356167, latency: 54.675147
[44] throughput: 1137.908402, latency: 57.255115
[45] throughput: 1031.092389, latency: 56.188650
[46] throughput: 1248.927169, latency: 56.103759
[47] throughput: 1273.696869, latency: 55.690133
[48] throughput: 1197.562542, latency: 57.519219
[49] throughput: 1204.008695, latency: 57.156766
Total throughput: 59308.458329
Average latency: 56.70554288
